employee_id,employee_name,hire_date,department
1,Penny Miller MD,2022-09-29,Sales
2,Roger Mcdonald,2016-10-06,HR
3,Alyssa Daniel,2020-09-20,IT
4,Lisa Moore,2017-08-03,HR
5,Richard Page,2015-05-27,Sales
6,Shawn Wood,2018-10-12,Customer Support
7,Mary Gonzalez,2018-10-10,IT
8,Paul White,2015-07-04,HR
9,Barbara Martin,2016-06-27,Marketing
10,Christina Austin,2018-11-23,Marketing
11,Michael Gentry,2014-06-05,HR
12,Maureen Hawkins,2022-01-06,IT
13,Laurie Campbell,2021-05-10,Sales
14,Andrew Kim,2021-02-06,Marketing
15,Michael Wilkins,2020-05-09,Customer Support
16,Lauren Gallagher,2020-02-08,Customer Support
17,Kevin Ross,2019-09-26,Sales
18,Kenneth Gomez,2014-12-13,Marketing
19,Scott Mccall,2023-04-17,HR
20,Alexis Hill,2015-11-28,IT
21,David Nichols,2022-08-18,Sales
22,Bailey Anderson,2014-10-16,HR
23,Troy Williams,2014-10-02,HR
24,Whitney Graham,2021-10-26,Marketing
25,Christian Logan,2023-06-21,Customer Support
26,Elizabeth Wagner MD,2015-03-14,Sales
27,Wesley Christian,2017-02-05,Marketing
28,Erica Mcknight,2019-06-21,Sales
29,Monica Bishop,2022-07-19,Marketing
30,Erin Smith,2015-02-04,HR
31,Michael Schwartz,2015-02-20,IT
32,Rebecca Tanner,2024-03-26,Customer Support
33,Samantha May,2014-12-06,Marketing
34,Danielle Flores,2023-04-18,Marketing
35,Dan Williams,2022-08-11,Customer Support
36,Diana Holt,2021-05-17,IT
37,Jenna Bryant,2022-09-08,IT
38,Sean Phillips,2023-02-17,Sales
39,Walter Davis,2019-02-14,HR
40,Jeremiah Mitchell,2019-06-23,IT
41,Matthew Evans,2018-03-05,Customer Support
42,Holly Miller,2021-06-24,IT
43,Jessica Anderson,2018-05-13,Sales
44,Robert Shelton,2015-05-20,HR
45,Molly Flores DDS,2019-04-11,HR
46,Alexandra Mccullough,2019-05-16,Sales
47,Suzanne Bond,2015-01-07,Sales
48,Angelica Alvarez,2021-01-22,HR
49,Phyllis Rowe,2020-06-04,HR
50,Travis Key,2022-07-17,Customer Support
